Year,Proxy,ObsMAF
1860,0.254750721,NA
1861,-2.039718243,NA
1862,1.572457797,NA
1863,-0.021691323,NA
1864,-0.659811707,NA
1865,0.538103816,NA
1866,2.235918703,NA
1867,2.491627594,NA
1868,1.074862118,NA
1869,0.367631223,NA
1870,-0.526198053,NA
1871,-1.731024628,NA
1872,0.492030142,NA
1873,0.047419188,NA
1874,-0.848713771,NA
1875,-0.427139654,NA
1876,0.132655485,NA
1877,-0.438658072,NA
1878,-0.551538574,NA
1879,-1.947570895,NA
1880,-0.295829683,NA
1881,-0.659811707,NA
1882,-1.318665245,NA
1883,-0.848713771,NA
1884,0.932033729,NA
1885,0.904389525,NA
1886,-0.141482875,NA
1887,-1.555944667,NA
1888,-0.201378651,NA
1889,-0.53080542,NA
1890,0.220195466,NA
1891,0.406793845,NA
1892,0.139566536,NA
